id,n_explotacion,cuenta,superficie,superficie_bpa,tecnificacion,sistematizacion_con_terrazas,rotacion_gramineas_y_cultivos_de_servicios,pasturas_implantadas,participacion_grupos_asociativos,nutricion_de_suelos,manejo_cultivos_intensivos,certificaciones,capacitacion,ag_tech,plan_pecuario,manejo_ganaderia_integrada,indic_agro,gestion_de_riesgo,eje_persona,eje_planeta,eje_prosperidad,total
bpa2019.6086,1,300541152206,155.71,5,si,,,,si,,,,si,,si,,,,si,si,si,4
bpa2019.6087,Ea Los Molles,190716800478,2921.89,2551,,,si,,si,si,,,si,,,,,,si,si,no,4
bpa2019.6088,La Chavela,210116506224,61,30,si,,,,si,,,,si,,si,,,,si,si,si,4
bpa2019.6089,Agricultores unidos,330603641205,356.74,140,,,si,,si,si,,,si,,,,,,si,si,no,4
bpa2019.6090,Don Florencio,160218259950,3,3,si,,,si,,,,,si,,si,,,,si,si,si,4
bpa2019.6091,El Chiquitín,180410658559,249.69,249.69,,,si,si,,si,,,,,si,,,,no,si,no,4
bpa2019.6092,Issoglio Orlando,250303417172,17.13,17,,,si,,si,si,,,si,,,,,,si,si,no,4
bpa2019.6093,Santa Rita,300110589178,12.89,12.89,,,si,si,,si,,,,,si,,,,no,si,no,4
bpa2019.6094,TC 38 - LOS OLIVARES,310609535848,0.52,0.52,,si,,si,,si,,,,si,,,,,no,si,si,4
bpa2019.6095,DON NEMESIO,190500945552,33.83,33.83,,,si,,si,si,,,si,,,,,,si,si,no,4
bpa2019.6096,tambo,240604841021,17.5,17.5,si,,si,si,,,,,,,si,,,,no,si,si,4
bpa2019.6097,el trebol,240616679962,40.01,40.01,si,,si,si,,,,,,,si,,,,no,si,si,4
bpa2019.6122,EL LALO SA,300502397307,39.12,19,,,,si,si,,,,si,,si,,,,si,si,no,4
bpa2019.6204,Quinta Griguol Jorge,130202516328,2.11,2,,,,,si,si,si,,si,,,,,,si,si,si,4
bpa2019.6098,steiner y sala,330602413861,32.56,32.56,,,si,,si,si,,,si,,,,,,si,si,no,4
bpa2019.6099,La Mascota,150200674041,48.87,48.87,,,,,si,,,,si,,si,,si,,si,si,no,4
bpa2019.6100,UM 1,220107530479,147.29,147,si,,,si,si,,,,,,si,,,,si,si,si,4
bpa2019.6101,La Argentina,160601853598,334.91,140,,,,si,,si,,,si,,si,,,,si,si,no,4
